,Comentario,Polaridad
0,La comida fue excelente y el servicio fue excepcional. Definitivamente volveré.,0.5555555555555555
1,"El ambiente era agradable y la comida estaba deliciosa, aunque un poco cara.",0.26145833333333335
2,"La comida estaba bien, pero el servicio fue lento y poco atento.",0.19999999999999996
3,"No me gustó la comida, estaba fría y el sabor no era bueno.",-0.475
4,El peor restaurante en el que he estado. No lo recomiendo para nada.,-1.0
5,¡Increíble! El mejor lugar para cenar con amigos o familiares.,1.0
6,Buena comida y buena música. Un lugar agradable para pasar el rato.,0.6666666666666666
7,"La comida era decente, pero no vale el precio que cobran.",0.008333333333333331
8,El servicio fue terrible y la comida llegó tarde y fría.,-0.6333333333333333
9,Muy mala experiencia. El personal fue grosero y la comida horrible.,-0.7366666666666667
10,Excelente lugar. La comida y el servicio fueron perfectos.,1.0
11,El restaurante tiene un buen ambiente y la comida es sabrosa.,0.7
12,"Regular, nada especial. No creo que vuelva pronto.",0.06904761904761905
13,La comida estaba mal cocida y el personal no fue muy atento.,-0.27692307692307694
14,Una experiencia desastrosa. No recomendaría este lugar.,-0.7
15,"Todo fue perfecto. Desde la comida hasta el servicio, todo de primera.",0.75
16,Me gustó mucho la comida y la atención fue buena.,0.6499999999999999
17,"Normal, no fue ni bueno ni malo. Un lugar promedio.",3.469446951953614e-17
18,La calidad de la comida dejó mucho que desear y el servicio fue deficiente.,-0.2
19,Horrible. No entiendo cómo puede estar abierto este lugar.,-0.5
20,Fantástico. La comida deliciosa y el personal muy amable.,0.6291666666666667
21,Un lugar maravilloso con comida deliciosa y excelente servicio.,1.0
22,"Muy buen restaurante, aunque algo caro. El ambiente es muy agradable.",0.45444444444444443
23,"La comida está bien, pero el servicio puede mejorar.",0.5
24,La comida no estaba fresca y el personal fue poco amable.,-0.15
25,Muy mala experiencia. La comida era terrible y el servicio peor.,-0.7699999999999999
26,Me encantó este lugar. La comida y el ambiente son geniales.,0.75
27,Buena experiencia en general. La comida y el servicio fueron buenos.,0.4666666666666666
28,"No es el mejor, pero tampoco el peor. Un lugar promedio.",-0.049999999999999996
29,La comida tardó mucho en llegar y no estaba bien cocida.,-0.025
30,Nunca volveré. La comida estaba horrible y el servicio fue pésimo.,-1.0
31,Uno de mis restaurantes favoritos. Siempre una experiencia fantástica.,0.45
32,"Buen lugar para cenar, aunque un poco ruidoso.",0.25625
33,Nada especial. La comida y el servicio fueron normales.,0.10357142857142858
34,No me gustó la comida y el ambiente era muy ruidoso.,0.2
35,El peor restaurante en el que he estado. Muy decepcionante.,-0.89
36,Un lugar excelente para celebrar ocasiones especiales.,0.6785714285714286
37,"Me gustó mucho la comida y el ambiente, aunque el servicio podría mejorar.",0.6
38,"Comida decente, pero el precio es un poco alto para lo que ofrecen.",0.04638888888888889
39,No recomendaría este lugar. La comida y el servicio fueron malos.,-0.6999999999999998
40,Horrible experiencia. La comida era terrible y el personal muy grosero.,-0.7966666666666667
41,Fantástico restaurante. La comida y el servicio fueron excepcionales.,0.5333333333333333
42,Buena comida y buen servicio. Un lugar recomendable.,0.7
43,"Normal, no estuvo mal pero tampoco fue excelente.",0.15000000000000005
44,La comida estaba fría y el servicio fue muy lento.,-0.495
45,No entiendo cómo este lugar sigue abierto. Muy malo todo.,-0.4549999999999999
46,Siempre disfruto venir aquí. La comida es deliciosa y el personal muy amable.,0.6291666666666667
47,"Un buen lugar para cenar, aunque el servicio puede ser un poco lento a veces.",0.0708333333333333
48,"La comida está bien, pero el ambiente no es muy agradable.",0.20897435897435895
49,No me gustó la comida y el servicio fue muy deficiente.,-0.52
50,Terrible experiencia. No recomendaría este lugar a nadie.,-1.0
51,Excelente lugar para una cena romántica. La comida es increíble.,0.5333333333333333
52,"Buen restaurante, aunque algo caro. La comida es muy sabrosa.",0.13333333333333333
53,"No está mal, pero he comido en mejores lugares.",0.42499999999999993
54,La comida no estaba bien cocida y el servicio fue terrible.,-1.0
55,Una experiencia desastrosa. No recomendaría este lugar.,-0.7
56,Uno de los mejores restaurantes en los que he comido. Todo fue perfecto.,1.0
57,"Me gustó mucho la comida, aunque el servicio fue un poco lento.",0.03749999999999998
58,"La comida estaba bien, pero el ambiente no era muy agradable.",0.20897435897435895
59,La comida tardó mucho en llegar y no estaba muy buena.,-0.15961538461538458
60,Muy mala experiencia. La comida y el servicio fueron horribles.,-0.9549999999999998
61,Un lugar increíble. La comida y el servicio son de primera.,0.7
62,"Buena comida y buen ambiente, aunque un poco caro.",0.17812499999999998
63,Nada especial. La comida y el servicio fueron normales.,0.10357142857142858
64,La comida no estaba fresca y el servicio fue muy lento.,-0.27
65,El peor restaurante en el que he estado. Muy decepcionante.,-0.89
66,Siempre disfruto venir aquí. La comida es deliciosa y el personal muy amable.,0.6291666666666667
67,"Buen lugar para cenar, aunque el servicio puede ser un poco lento a veces.",0.0708333333333333
68,"La comida está bien, pero el ambiente no es muy agradable.",0.20897435897435895
69,No me gustó la comida y el servicio fue muy deficiente.,-0.52
70,Terrible experiencia. No recomendaría este lugar a nadie.,-1.0
